#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.SemanticLegalMetadata|Concept


#Text=The undertaking shall ensure that personnel providing advice are familiar with the legislation and rules relevant to the focus, scope and degree of difficulty of the advice.
1-1	0-3	The	Actor:Agent[1]	
1-2	4-15	undertaking	Actor:Agent[1]	
1-3	16-21	shall	Modality	
1-4	22-28	ensure	Action[2]	
1-5	29-33	that	Action[2]	
1-6	34-43	personnel	Action[2]|Actor:Agent[3]	
1-7	44-53	providing	Action[2]|Action[4]	
1-8	54-60	advice	Action[2]|Action[4]|Artifact[5]	
1-9	61-64	are	Action[2]|Situation:Result[6]	
1-10	65-73	familiar	Action[2]|Situation:Result[6]	
1-11	74-78	with	Action[2]|Situation:Result[6]	
1-12	79-82	the	Action[2]|Situation:Result[6]	
1-13	83-94	legislation	Action[2]|Situation:Result[6]|Artifact[7]	
1-14	95-98	and	Action[2]|Situation:Result[6]|Artifact[7]	
1-15	99-104	rules	Action[2]|Situation:Result[6]|Artifact[7]	
1-16	105-113	relevant	Action[2]|Situation:Result[6]|Artifact[7]	
1-17	114-116	to	Action[2]|Situation:Result[6]|Artifact[7]	
1-18	117-120	the	Action[2]|Situation:Result[6]|Artifact[7]	
1-19	121-126	focus	Action[2]|Situation:Result[6]|Artifact[7]	
1-20	126-127	,	Action[2]|Situation:Result[6]|Artifact[7]	
1-21	128-133	scope	Action[2]|Situation:Result[6]|Artifact[7]	
1-22	134-137	and	Action[2]|Situation:Result[6]|Artifact[7]	
1-23	138-144	degree	Action[2]|Situation:Result[6]|Artifact[7]	
1-24	145-147	of	Action[2]|Situation:Result[6]|Artifact[7]	
1-25	148-158	difficulty	Action[2]|Situation:Result[6]|Artifact[7]	
1-26	159-161	of	Action[2]|Situation:Result[6]	
1-27	162-165	the	Action[2]|Situation:Result[6]	
1-28	166-172	advice	Action[2]|Situation:Result[6]	
1-29	172-173	.	Action[2]	

#Text=The undertaking shall ensure that the personnel providing advice also under-stand and can fulfil the requirements demanded of the advice on the basis of the focus, scope and degree of difficulty of the advice.
2-1	175-178	The	Actor:Agent[8]	
2-2	179-190	undertaking	Actor:Agent[8]	
2-3	191-196	shall	Modality	
2-4	197-203	ensure	Action[9]	
2-5	204-208	that	Action[9]	
2-6	209-212	the	Action[9]	
2-7	213-222	personnel	Action[9]|Actor:Agent[10]	
2-8	223-232	providing	Action[9]|Action[11]	
2-9	233-239	advice	Action[9]|Action[11]|Artifact[12]	
2-10	240-244	also	Action[9]	
2-11	245-256	under-stand	Action[9]|Situation:Result[13]	
2-12	257-260	and	Action[9]|Situation:Result[13]	
2-13	261-264	can	Action[9]|Situation:Result[13]	
2-14	265-271	fulfil	Action[9]|Situation:Result[13]	
2-15	272-275	the	Action[9]|Situation:Result[13]	
2-16	276-288	requirements	Action[9]|Situation:Result[13]|Artifact[14]	
2-17	289-297	demanded	Action[9]|Situation:Result[13]|Artifact[14]	
2-18	298-300	of	Action[9]|Situation:Result[13]|Artifact[14]	
2-19	301-304	the	Action[9]|Situation:Result[13]|Artifact[14]	
2-20	305-311	advice	Action[9]|Situation:Result[13]|Artifact[14]	
2-21	312-314	on	Action[9]|Situation:Result[13]|Artifact[14]	
2-22	315-318	the	Action[9]|Situation:Result[13]|Artifact[14]	
2-23	319-324	basis	Action[9]|Situation:Result[13]|Artifact[14]	
2-24	325-327	of	Action[9]|Situation:Result[13]|Artifact[14]	
2-25	328-331	the	Action[9]|Situation:Result[13]|Artifact[14]	
2-26	332-337	focus	Action[9]|Situation:Result[13]|Artifact[14]	
2-27	337-338	,	Action[9]|Situation:Result[13]|Artifact[14]	
2-28	339-344	scope	Action[9]|Situation:Result[13]|Artifact[14]	
2-29	345-348	and	Action[9]|Situation:Result[13]|Artifact[14]	
2-30	349-355	degree	Action[9]|Situation:Result[13]|Artifact[14]	
2-31	356-358	of	Action[9]|Situation:Result[13]|Artifact[14]	
2-32	359-369	difficulty	Action[9]|Situation:Result[13]|Artifact[14]	
2-33	370-372	of	Action[9]|Situation:Result[13]	
2-34	373-376	the	Action[9]|Situation:Result[13]	
2-35	377-383	advice	Action[9]|Situation:Result[13]	
2-36	383-384	.	Action[9]	

#Text=The knowledge shall take ac-count of the significance of advising liability, ethics and generally accepted advising practices.
3-1	385-388	The	Actor[15]	
3-2	389-398	knowledge	Actor[15]	
3-3	399-404	shall	Modality	
3-4	405-409	take	Situation:Result[16]	
3-5	410-418	ac-count	Situation:Result[16]	
3-6	419-421	of	Situation:Result[16]	
3-7	422-425	the	Situation:Result[16]	
3-8	426-438	significance	Situation:Result[16]|Artifact[17]	
3-9	439-441	of	Situation:Result[16]|Artifact[17]	
3-10	442-450	advising	Situation:Result[16]|Artifact[17]	
3-11	451-460	liability	Situation:Result[16]|Artifact[17]	
3-12	460-461	,	Situation:Result[16]	
3-13	462-468	ethics	Situation:Result[16]|Artifact[18]	
3-14	469-472	and	Situation:Result[16]	
3-15	473-482	generally	Situation:Result[16]|Artifact[19]	
3-16	483-491	accepted	Situation:Result[16]|Artifact[19]	
3-17	492-500	advising	Situation:Result[16]|Artifact[19]	
3-18	501-510	practices	Situation:Result[16]|Artifact[19]	
3-19	510-511	.	Situation:Result[16]	

