#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.SemanticLegalMetadata|Concept


#Text=A firm shall have a documented risk tolerance that is based on a clearly expressed quantitative and qualitative view of what constitutes appropriate liquidity risk and is adapted to the firm's operational objective, strategic direction and general risk preference.
1-1	0-1	A	Actor:Agent[1]	
1-2	2-6	firm	Actor:Agent[1]	
1-3	7-12	shall	Modality	
1-4	13-17	have	Situation[2]	
1-5	18-19	a	Situation[2]	
1-6	20-30	documented	Situation[2]|Artifact[3]	
1-7	31-35	risk	Situation[2]|Artifact[3]	
1-8	36-45	tolerance	Situation[2]|Artifact[3]	
1-9	46-50	that	Situation[2]	
1-10	51-53	is	Situation[2]	
1-11	54-59	based	Situation[2]	
1-12	60-62	on	Situation[2]	
1-13	63-64	a	Situation[2]	
1-14	65-72	clearly	Situation[2]	
1-15	73-82	expressed	Situation[2]	
1-16	83-95	quantitative	Situation[2]	
1-17	96-99	and	Situation[2]	
1-18	100-111	qualitative	Situation[2]	
1-19	112-116	view	Situation[2]	
1-20	117-119	of	Situation[2]	
1-21	120-124	what	Situation[2]	
1-22	125-136	constitutes	Situation[2]	
1-23	137-148	appropriate	Situation[2]	
1-24	149-158	liquidity	Situation[2]	
1-25	159-163	risk	Situation[2]	
1-26	164-167	and	Situation[2]	
1-27	168-170	is	Situation[2]	
1-28	171-178	adapted	Situation[2]	
1-29	179-181	to	Situation[2]	
1-30	182-185	the	Situation[2]	
1-31	186-192	firm's	Situation[2]	
1-32	193-204	operational	Situation[2]	
1-33	205-214	objective	Situation[2]	
1-34	214-215	,	Situation[2]	
1-35	216-225	strategic	Situation[2]	
1-36	226-235	direction	Situation[2]	
1-37	236-239	and	Situation[2]	
1-38	240-247	general	Situation[2]	
1-39	248-252	risk	Situation[2]	
1-40	253-263	preference	Situation[2]	
1-41	263-264	.	Situation[2]	

#Text=The firm's board of directors shall decide on the risk tolerance.
2-1	265-268	The	Actor:Agent[4]	
2-2	269-275	firm's	Actor:Agent[4]	
2-3	276-281	board	Actor:Agent[4]	
2-4	282-284	of	Actor:Agent[4]	
2-5	285-294	directors	Actor:Agent[4]	
2-6	295-300	shall	Modality	
2-7	301-307	decide	Action[5]	
2-8	308-310	on	Action[5]	
2-9	311-314	the	Action[5]	
2-10	315-319	risk	Action[5]|Artifact[6]	
2-11	320-329	tolerance	Action[5]|Artifact[6]	
2-12	329-330	.	_	

#Text=A firm shall have strategies pursuant to Chapter 4 as well as guidelines and instructions for managing the firm's liquidity risk in accordance with the risk tolerance decided by the board of directors as set out in section 1 with the aim of ensuring that the firm has sufficient liquidity.
3-1	332-333	A	Actor:Agent[7]	
3-2	334-338	firm	Actor:Agent[7]	
3-3	339-344	shall	Modality	
3-4	345-349	have	Situation[8]	
3-5	350-360	strategies	Situation[8]	
3-6	361-369	pursuant	Situation[8]	
3-7	370-372	to	Situation[8]	
3-8	373-380	Chapter	Situation[8]|Reference[9]	
3-9	381-382	4	Situation[8]|Reference[9]	
3-10	383-385	as	Situation[8]	
3-11	386-390	well	Situation[8]	
3-12	391-393	as	Situation[8]	
3-13	394-404	guidelines	Situation[8]|Artifact[10]	
3-14	405-408	and	Situation[8]|Artifact[10]	
3-15	409-421	instructions	Situation[8]|Artifact[10]	
3-16	422-425	for	Situation[8]	
3-17	426-434	managing	Situation[8]	
3-18	435-438	the	Situation[8]	
3-19	439-445	firm's	Situation[8]	
3-20	446-455	liquidity	Situation[8]	
3-21	456-460	risk	Situation[8]	
3-22	461-463	in	Situation[8]	
3-23	464-474	accordance	Situation[8]	
3-24	475-479	with	Situation[8]	
3-25	480-483	the	Situation[8]	
3-26	484-488	risk	Situation[8]|Artifact[11]	
3-27	489-498	tolerance	Situation[8]|Artifact[11]	
3-28	499-506	decided	Situation[8]	
3-29	507-509	by	Situation[8]	
3-30	510-513	the	Situation[8]	
3-31	514-519	board	Situation[8]|Actor:Auxiliary Party[12]	
3-32	520-522	of	Situation[8]|Actor:Auxiliary Party[12]	
3-33	523-532	directors	Situation[8]|Actor:Auxiliary Party[12]	
3-34	533-535	as	Situation[8]	
3-35	536-539	set	Situation[8]	
3-36	540-543	out	Situation[8]	
3-37	544-546	in	Situation[8]	
3-38	547-554	section	Situation[8]|Reference[13]	
3-39	555-556	1	Situation[8]|Reference[13]	
3-40	557-561	with	Situation[8]	
3-41	562-565	the	Situation[8]	
3-42	566-569	aim	Situation[8]	
3-43	570-572	of	Situation[8]	
3-44	573-581	ensuring	Situation[8]	
3-45	582-586	that	Situation[8]	
3-46	587-590	the	Situation[8]	
3-47	591-595	firm	Situation[8]	
3-48	596-599	has	Situation[8]	
3-49	600-610	sufficient	Situation[8]	
3-50	611-620	liquidity	Situation[8]	
3-51	620-621	.	Situation[8]	

#Text=A firm's managing director shall review and report the firm's management of liquidity risks and its liquidity to the board of directors on a regular basis.
4-1	623-624	A	Actor:Agent[14]	
4-2	625-631	firm's	Actor:Agent[14]	
4-3	632-640	managing	Actor:Agent[14]	
4-4	641-649	director	Actor:Agent[14]	
4-5	650-655	shall	Modality	
4-6	656-662	review	Action[15]	
4-7	663-666	and	Action[15]	
4-8	667-673	report	Action[15]	
4-9	674-677	the	Action[15]|Actor:Target[16]	
4-10	678-684	firm's	Action[15]|Actor:Target[16]	
4-11	685-695	management	Action[15]	
4-12	696-698	of	Action[15]	
